,source,target,total_freq,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,2009-06-24,2009-07-08
1079,21,42,10154,0,43,123,623,701,740,940,942,947,947,1501,2998,3881,4280,5779,7178,9269,10154,10154,10154,10154
1080,21,43,325,0,0,0,2,5,6,15,15,15,15,36,86,159,159,211,266,311,325,325,325,325
1081,21,44,1392,0,1,1,29,29,31,164,164,164,164,269,578,711,754,908,1039,1326,1392,1392,1392,1392
1082,21,45,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,5,5,5,5,5
1083,21,46,436,0,3,4,10,10,12,49,49,50,50,61,110,138,146,224,303,384,436,436,436,436
1084,21,47,968,0,0,10,12,12,14,15,15,15,15,102,250,494,663,968,968,968,968,968,968,968
1085,21,48,7,0,0,0,1,1,1,1,1,1,1,1,6,6,6,6,7,7,7,7,7,7
1086,21,49,161,0,0,0,0,0,0,0,0,0,0,2,58,62,81,146,148,160,161,161,161,161
1087,21,51,14,4,4,5,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
1088,21,52,900,0,0,0,4,7,7,11,11,11,11,156,374,597,620,845,900,900,900,900,900,900
1089,21,54,39,0,0,0,0,0,0,0,0,0,0,0,0,4,5,26,37,39,39,39,39,39
1090,21,55,84,0,0,0,4,4,5,5,5,5,5,5,5,59,84,84,84,84,84,84,84,84
1091,21,56,242,0,0,0,0,0,0,0,0,0,0,0,0,47,70,149,192,233,242,242,242,242
1092,21,57,4056,0,24,26,26,26,35,82,82,82,82,336,680,1117,1268,1873,2670,3474,4056,4056,4056,4056
1093,21,58,123,0,0,0,0,0,0,4,6,6,6,11,14,50,51,69,91,123,123,123,123,123
1094,21,59,5996,0,44,74,228,240,241,244,244,244,244,690,1441,2187,2475,3441,4582,5229,5996,5996,5996,5996
1095,21,60,44,0,1,1,1,1,1,1,1,1,1,8,10,10,11,13,13,35,44,44,44,44
1096,21,61,138,0,2,6,8,9,9,9,9,9,9,44,45,82,84,108,119,135,138,138,138,138
1097,21,62,429,0,0,0,2,2,2,2,2,3,3,10,10,15,31,130,272,423,429,429,429,429
1098,21,63,2088,0,0,20,57,61,94,141,141,141,141,773,1177,1404,1416,1746,1945,2088,2088,2088,2088,2088
1099,21,64,2355,0,7,8,44,51,64,107,108,109,109,281,490,810,904,1264,1615,2112,2355,2355,2355,2355
1100,21,65,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3
1101,21,66,34,0,0,1,1,1,1,1,1,1,1,15,34,34,34,34,34,34,34,34,34,34
1102,21,67,26,0,0,1,2,2,2,2,2,2,2,2,6,8,8,9,11,14,26,26,26,26
1103,21,68,296,4,5,5,5,5,5,5,5,5,5,5,12,21,24,48,64,252,296,296,296,296
1104,21,69,13,0,0,0,0,0,1,2,2,2,2,3,3,8,9,12,13,13,13,13,13,13
1105,21,70,8517,0,0,71,462,496,497,508,508,508,508,1251,2591,3436,3690,4915,6251,7637,8517,8517,8517,8517
1106,21,71,248,0,1,1,2,3,3,28,28,28,28,38,74,123,132,195,221,236,248,248,248,248
1107,21,72,284,0,0,0,3,3,3,9,9,9,9,11,62,99,138,220,234,277,284,284,284,284
1108,21,74,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5
1109,21,75,33,0,0,0,0,0,0,0,0,0,0,0,5,13,15,19,28,33,33,33,33,33
1110,21,76,231,0,0,0,0,0,0,0,0,4,4,16,30,84,85,119,192,219,231,231,231,231
1111,21,77,1748,0,1,1,1,1,1,1,1,3,3,27,156,410,504,1071,1395,1530,1748,1748,1748,1748
1112,21,78,21,0,0,0,0,0,0,1,1,1,1,1,1,3,4,6,21,21,21,21,21,21
1113,21,79,303,0,0,0,0,0,0,0,0,0,0,27,115,141,152,206,244,283,303,303,303,303
1114,21,80,397,0,0,0,0,0,0,0,0,0,0,10,74,125,126,202,318,366,397,397,397,397
1115,22,1,20,0,0,2,3,3,3,3,3,3,3,3,18,18,18,20,20,20,20,20,20,20
1116,22,2,95,0,7,40,52,88,89,89,89,95,95,95,95,95,95,95,95,95,95,95,95,95
1117,22,4,30,0,0,0,0,0,0,0,0,0,0,1,6,10,18,21,24,30,30,30,30,30
1118,22,5,647,1,257,292,452,469,469,469,469,637,637,637,637,637,637,638,643,647,647,647,647,647
1119,22,6,466,0,6,100,100,114,144,154,155,177,181,223,223,223,223,223,466,466,466,466,466,466
1120,22,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,4,4,4,4,4
1121,22,8,175,0,0,74,100,102,110,134,134,134,142,142,142,142,142,142,145,175,175,175,175,175
1122,22,9,221,0,0,0,0,5,21,25,25,38,38,38,38,111,115,122,173,219,220,221,221,221
1123,22,11,393,0,0,2,3,3,3,3,3,3,12,63,75,136,159,215,352,393,393,393,393,393
1124,22,12,263,0,0,20,21,21,21,21,21,162,213,214,219,220,220,220,235,263,263,263,263,263
1125,22,14,133,1,11,33,77,85,104,110,110,116,116,116,132,132,132,133,133,133,133,133,133,133
1126,22,15,207,0,0,4,16,30,33,40,40,53,53,64,75,149,164,192,202,204,204,207,207,207
